Note ID	Korean Word	Word Meaning	Word Audio	Korean Expression	Expression Meaning	Expression Audio	Picture	Hint	Sort
dfd42e44-2cb3-11ed-a970-3b66871c921d				<div>저녁에 <b>전화할게요</b>.</div><div></div>		"<img src=""paste-8073c53aca0a8ae71a093f32f0ddbddf9043e80a.jpg"">[sound:13-2-145-3.mp3]"			13-2-145-3	Beginner Retired
dfd45540-2cb3-11ed-a970-3b66871c921d				<div>너무 배가 불러요. 그만 <b>먹을래요.</b></div><div></div>		"<img src=""paste-6f2478e4856a3f7774239768a217ff8b5d6958fd.jpg"">[sound:13-3-147-1.mp3]"			13-3-147-1	Beginner
dfd47c14-2cb3-11ed-a970-3b66871c921d				<div>커피 <b>마실래요</b>.&nbsp;</div>		"<img src=""paste-a8751bfd204ffceb58cd4bd2f285b4fc3710f929.jpg"">[sound:13-3-147-2.mp3]"			13-3-147-2	Beginner
dfd4a6a8-2cb3-11ed-a970-3b66871c921d				<div>이번 방학에는 여행을 <b>할래요</b>.</div>		"<img src=""paste-5b00dd015370507abb19ea6eb607217c67d6dad3.jpg"">[sound:13-3-147-3.mp3]"			13-3-147-3	Beginner
dfd4d27c-2cb3-11ed-a970-3b66871c921d				<div><b>추운데</b> 창문을 닫을까요?&nbsp;</div>		"<img src=""paste-10297872bb19cebd76e0be1dae0457f354788a23.jpg"">[sound:14-1-149-1.mp3]"			14-1-149-1	Beginner
dfd4f86a-2cb3-11ed-a970-3b66871c921d				<div>비가 <b>오는데</b> 우산이 없어요.</div>		"<img src=""paste-d11bf9eabf0649a2302ea393a9c78da81c88e1fa.jpg"">[sound:14-1-149-2.mp3]"			14-1-149-2	Beginner
dfd51f84-2cb3-11ed-a970-3b66871c921d				<div>제 동생은 <b>학생인데</b> 공부를 아주 잘해요.&nbsp;</div>		"<img src=""paste-40b7575917479b66ea749a08c15a31c79cddb942.jpg"">[sound:14-1-149-3.mp3]"			14-1-149-3	Beginner
dfd546b2-2cb3-11ed-a970-3b66871c921d				<div>많이 <b>샀는데</b> 이제 갈까요?&nbsp;</div>		"<img src=""paste-47b34b4b840a2a0c553fa3dc060a1cfdf30e896a.jpg"">[sound:14-1-149-4.mp3]"			14-1-149-4	Beginner Retired
dfd56cdc-2cb3-11ed-a970-3b66871c921d				<div>집에 들어오<b>니까</b> 맛있는 냄새가 나요.&nbsp;</div>		"<img src=""paste-7ff3af3fe7697e914ab692ee4c860170fcc4384a.jpg"">[sound:14-2-151-1.mp3]"			14-2-151-1	Beginner
dfd593f6-2cb3-11ed-a970-3b66871c921d				<div>아침에 일어나<b>니까</b> 선물이 있었어요.&nbsp;</div>		"<img src=""paste-daf8647a5b70d95f621a1800dbb4337c3ce6950c.jpg"">[sound:14-2-151-2.mp3]"			14-2-151-2	Beginner Retired
dfd5b9f8-2cb3-11ed-a970-3b66871c921d				<div>집에 오<b>니까</b> 밤 12시였어요.&nbsp;</div>		"<img src=""paste-457392f84f8822ba28698d3047fc32a683cc1053.jpg"">[sound:14-2-151-3.mp3]"			14-2-151-3	Beginner
dfd5e324-2cb3-11ed-a970-3b66871c921d				<div>옷을 <b>사러</b> 동대문 시장에 <b>가요.</b></div><div></div>		"<img src=""paste-52b89fab8fa136ddfc1898aed764a8e632ee51fa.jpg"">[sound:15-1-153-1.mp3]"			15-1-153-1	Beginner
dfd60994-2cb3-11ed-a970-3b66871c921d				<div>한국 팬들을 <b>만나러</b> 한국에 <b>왔어요</b>.&nbsp;</div>		"<img src=""paste-4a663a186a53a6003d179b153ad4bd62cb6e4f73.jpg"">[sound:15-1-153-2.mp3]"			15-1-153-2	Beginner
dfd62f96-2cb3-11ed-a970-3b66871c921d				<div>은행에 돈을 <b>찾으러 가요</b>.</div><div></div>		"<img src=""paste-ac30543f1f3a8b9ee2ee24fc13d3b43f61ce3a11.jpg"">[sound:15-1-153-3.mp3]"			15-1-153-3	Beginner Retired
dfd656ce-2cb3-11ed-a970-3b66871c921d				<div>살을 <b>빼려고</b> 매일 세 시간씩 운동을 해요.&nbsp;</div>		"<img src=""paste-cd6f79e02f0e4bf63abcef1dc54ad3313a2e5ddd.jpg"">[sound:15-2-155-1.mp3]"			15-2-155-1	Beginner
dfd67cf8-2cb3-11ed-a970-3b66871c921d				<div>아내에게 <b>주려고</b> 선물을 샀어요.&nbsp;</div>		"<img src=""paste-9f33476b19277e2490f1a0b3a5e092fd682af48c.jpg"">[sound:15-2-155-2.mp3]"			15-2-155-2	Beginner
dfd6a67e-2cb3-11ed-a970-3b66871c921d				<div>잠을 <b>자지 않으려고</b> 커피를 5잔이나 마셨어요.&nbsp;</div>		"<img src=""paste-7e670ab07b4998fc8e56cc1866b42f80adb42103.jpg"">[sound:15-2-155-3.mp3]"			15-2-155-3	Beginner Retired
dfd6cd0c-2cb3-11ed-a970-3b66871c921d				<div>여름휴가 때 여행을 <b>하려고 해요</b>.&nbsp;</div>		"<img src=""paste-965a0d58fec12f4b9a6f6d78194b2377ae80f863.jpg"">[sound:15-3-157-1.mp3]"			15-3-157-1	Beginner Retired
dfd6f5de-2cb3-11ed-a970-3b66871c921d				<div>결혼하면 아이를 두 명 <b>낳으려고 해요</b>.</div><div></div>		"<img src=""paste-9a14d9c384a8400cce220dd958f1304965978339.jpg"">[sound:15-3-157-2.mp3]"			15-3-157-2	Beginner Retired
dfd71c30-2cb3-11ed-a970-3b66871c921d				<div>방학 동안 운전을 <b>배우려고 했어요</b>. 그런데 팔을 다쳐서 못 배웠어요.&nbsp;</div>		"<img src=""paste-eba268ce49cdd1ba49b29b4bbda3f747d5f2769d.jpg"">[sound:15-3-157-3.mp3]"			15-3-157-3	Beginner
dfd74958-2cb3-11ed-a970-3b66871c921d				<div>건강<b>을</b> <b>위해서 </b>매일 비타민을 먹고 있습니다.&nbsp;</div>		"<img src=""paste-e825796692647269ab91db94fd6cb14e14a3ae4d.jpg"">[sound:15-4-159-1.mp3]"			15-4-159-1	Beginner
dfd7719e-2cb3-11ed-a970-3b66871c921d				<div>군인은 나라<b>를 위해서</b> 일하는 사람입니다.&nbsp;</div>		"<img src=""paste-831afac3bdb8489a879a665dda9ce279354c4839.jpg"">[sound:15-4-159-2.mp3]"			15-4-159-2	Beginner
dfd79962-2cb3-11ed-a970-3b66871c921d				<div>훌륭한 스케이트 선수가 되<b>기 위해</b> 열심히 연습을 합니다.</div><div></div>		"<img src=""paste-07fd86e4bf544d9b7ba5b85d37065d8b45e5f8a9.jpg"">[sound:15-4-159-3.mp3]"			15-4-159-3	Beginner
dfd7bf46-2cb3-11ed-a970-3b66871c921d				<div>건강 때문에 올해부터 담배를 <b>끊기로 했어요</b>.</div><div></div>		"<img src=""paste-6a091b9825b332e9829ece5988404847efd5f2ac.jpg"">[sound:15-5-161-1.mp3]"			15-5-161-1	Beginner
dfd7e7aa-2cb3-11ed-a970-3b66871c921d				<div>주말에 친구하고 같이 <b>등산하기로 했어요</b>.</div><div></div>		"<img src=""paste-f0b4cd29979fa4db2526c1ab74b4cb2a33d6494d.jpg"">[sound:15-5-161-2.mp3]"			15-5-161-2	Beginner Retired
dfd80dc0-2cb3-11ed-a970-3b66871c921d				<div>우리는 3년 후에 결혼하<b>기로 했습니다</b>.&nbsp;</div>		"<img src=""paste-76d713506e96684e0db34fed67c0cb419e12fe0e.jpg"">[sound:15-5-161-3.mp3]"			15-5-161-3	Beginner
dfd8339a-2cb3-11ed-a970-3b66871c921d				<div>컴퓨터를 많이 <b>하면 </b>눈이 아파요.&nbsp;</div>		"<img src=""paste-55742bd313579678247e4c867a6573247020ae0c.jpg"">[sound:16-1-163-1.mp3]"			16-1-163-1	Beginner
dfd85c1c-2cb3-11ed-a970-3b66871c921d				<div>나는 기분이 <b>좋으면 </b>춤을 춰요.&nbsp;</div>		"<img src=""paste-9d445e9839d3d781dca6ca864342a6fc69fd1b58.jpg"">[sound:16-1-163-2.mp3]"			16-1-163-2	Beginner
dfd88728-2cb3-11ed-a970-3b66871c921d				<div>돈을 많이 <b>벌면 </b>집을 살 거예요.&nbsp;</div>		"<img src=""paste-c720ce6d905bffcefbbf0589a124258007028f1e.jpg"">[sound:16-1-163-3.mp3]"			16-1-163-3	Beginner Retired
dfd8bc52-2cb3-11ed-a970-3b66871c921d				<div>농구를 <b>잘하려면</b> 점프를 잘해야 돼요.&nbsp;</div>		"<img src=""paste-8a893fc741d2bd574ca7ae27d32e68f9d76edceb.jpg"">[sound:16-2-165-1.mp3]"			16-2-165-1	Beginner
dfd8eb46-2cb3-11ed-a970-3b66871c921d				<div>동대문에 <b>가려면</b> 지하철 4호선을 타세요.&nbsp;</div>		"<img src=""paste-accbd8d7347a61cbf7343e14c30d4366f806b288.jpg"">[sound:16-2-165-2.mp3]"			16-2-165-2	Beginner
dfd9149a-2cb3-11ed-a970-3b66871c921d				<div>이 선생님을 <b>만나려면</b> 월요일에 학교로 가세요.&nbsp;</div>		"<img src=""paste-6c58e6919f3db9cb0cd5a90cb58741ae836989a8.jpg"">[sound:16-2-165-3.mp3]"			16-2-165-3	Beginner Retired
dfd93dee-2cb3-11ed-a970-3b66871c921d				<div>크게 <b>말해도</b> 할머니가 못 들어요.&nbsp;</div>		"<img src=""paste-7ffac9870576f1560d69f47e70debbb6f6bb17d7.jpg"">[sound:16-3-167-1.mp3]"			16-3-167-1	Beginner Retired
dfd966ca-2cb3-11ed-a970-3b66871c921d				<div>이 옷이 마음에 들어요. <b>비싸도</b> 사고 싶어요.&nbsp;</div>		"<img src=""paste-620a339560a565928a26073360a1a42dd21be714.jpg"">[sound:16-3-167-2.mp3]"			16-3-167-2	Beginner
dfd98f2e-2cb3-11ed-a970-3b66871c921d				<div>뉴스를 <b>들어도&nbsp;</b>이해하지 못해요.&nbsp;</div>		"<img src=""paste-d0db76c487b98d00aeec056a5b96240829892c7c.jpg"">[sound:16-3-167-3.mp3]"			16-3-167-3	Beginner
dfd9be18-2cb3-11ed-a970-3b66871c921d				<div>와, <b>맛있겠어요</b>.&nbsp;</div>		"<img src=""paste-87c37fc6af6f6788638d6a617358339e25b9df22.jpg"">[sound:17-1-169-1.mp3]"			17-1-169-1	Beginner Retired
dfd9f31a-2cb3-11ed-a970-3b66871c921d				<div>저 포스터를 보세요. <b>재미있겠어요</b>!&nbsp;</div>		"<img src=""paste-aa357316e33c80fce98933355ee0bef9e2537367.jpg"">[sound:17-1-169-2.mp3]"			17-1-169-2	Beginner
dfda1f3e-2cb3-11ed-a970-3b66871c921d				<div><b>시원하겠어요</b>.&nbsp;</div>		"<img src=""paste-e8aae14bfee27b9bca965af20769679d0b12ef14.jpg"">[sound:17-1-169-3.mp3]"			17-1-169-3	Beginner Retired
dfda48c4-2cb3-11ed-a970-3b66871c921d				<div>그 옷을 입으면 <b>더울 거예요</b>.&nbsp;</div>		"<img src=""paste-ec0290b90e2b9a129246eef8903c82cb3ba9e444.jpg"">[sound:17-2-171-1.mp3]"			17-2-171-1	Beginner
dfda7006-2cb3-11ed-a970-3b66871c921d				<div>하영 씨에게는 보라색 티셔츠가 잘 <b>어울릴 거예요</b>.&nbsp;</div>		"<img src=""paste-cbf2823431f7f49c0269e12ff85181483780886b.jpg"">[sound:17-2-171-2.mp3]"			17-2-171-2	Beginner
dfda972a-2cb3-11ed-a970-3b66871c921d				<div>7시니까 댄 씨는 벌써 퇴근했<b>을 거예요</b>.&nbsp;</div>		"<img src=""paste-a43828aa8cacf79415fa6e087d7d0dd41ab0207c.jpg"">[sound:17-2-171-3.mp3]"			17-2-171-3	Beginner
dfdabe76-2cb3-11ed-a970-3b66871c921d				<div>주말에 날씨가 <b>더울까요</b>?&nbsp;</div>		"<img src=""paste-9ff79e2a5346a0c1081a44443bcbf638c89806bb.jpg"">[sound:17-3-173-1.mp3]"			17-3-173-1	Beginner
dfdae644-2cb3-11ed-a970-3b66871c921d				<div>캐럴 씨가 오늘 <b>나올까요</b>?&nbsp;</div>		"<img src=""paste-23411d437af36c6cc5f41ded443706d675e9b3f3.jpg"">[sound:17-3-173-2.mp3]"			17-3-173-2	Beginner
dfdb1100-2cb3-11ed-a970-3b66871c921d				<div>댄 씨가 이 책을 <b>읽었을까요</b>?&nbsp;</div>		"<img src=""paste-09659bd3b8cc31d4581a16463ebb78e1d74b3423.jpg"">[sound:17-3-173-3.mp3]"			17-3-173-3	Beginner
dfdb3860-2cb3-11ed-a970-3b66871c921d				<div>어제 비가 <b>온 것 같아요</b>.&nbsp;</div>		"<img src=""paste-3560392bed9124e5fe2cd8120c32da250bdbd9b0.jpg"">[sound:17-4-175-1.mp3]"			17-4-175-1	Beginner Retired
dfdb609c-2cb3-11ed-a970-3b66871c921d				<div>지금 비가 <b>오는 것 같아요</b>.&nbsp;</div>		"<img src=""paste-fa4d23eaebfdce5aeeb179d282c2295e65278314.jpg"">[sound:17-4-175-2.mp3]"			17-4-175-2	Beginner
dfdb87de-2cb3-11ed-a970-3b66871c921d				<div>비가 <b>올 것 같아요</b>.&nbsp;</div>		"<img src=""paste-aad3783bbe2add9314515808e3d9a0cf5e2d3b7c.jpg"">[sound:17-4-175-3.mp3]"			17-4-175-3	Beginner Retired
dfdbb02e-2cb3-11ed-a970-3b66871c921d				<div><b>예쁜</b> 가방을 사고 싶어요.&nbsp;</div>		"<img src=""paste-64c2637f49d423700f421cb2bacefbc5bbe06599.jpg"">[sound:18-1-177-1.mp3]"			18-1-177-1	Beginner
dfdbd81a-2cb3-11ed-a970-3b66871c921d				<div>소파에서 <b>자는</b> 사람이 누구예요?</div>		"<img src=""paste-01e47915505146c55f3e2e608436a01be0c35087.jpg"">[sound:18-1-177-2.mp3]"			18-1-177-2	Beginner Retired
dfdbff48-2cb3-11ed-a970-3b66871c921d				<div>오늘 저녁에 <b>먹을</b> 한국 음식이 뭐예요?&nbsp;</div>		"<img src=""paste-2798c274c9c4d4646fcc24fea52dce1f2465a64d.jpg"">[sound:18-1-177-3.mp3]"			18-1-177-3	Beginner Retired
dfdc268a-2cb3-11ed-a970-3b66871c921d				<div>한국말을 공부하<b>기</b>가 어려워요</div>		"<img src=""paste-cbd077e5fb2c587053899f420afee04318596260.jpg"">[sound:18-2-179-1.mp3]"			18-2-179-1	Beginner
dfdc52cc-2cb3-11ed-a970-3b66871c921d				<div>제 취미는 요리하<b>기</b>예요.&nbsp;</div>		"<img src=""paste-dab2ca2c921233118dfc171250918c638fead3d8.jpg"">[sound:18-2-179-2.mp3]"			18-2-179-2	Beginner
dfdc8044-2cb3-11ed-a970-3b66871c921d				<div>다리가 아파서 걷<b>기</b>가 힘들어요.&nbsp;</div>		"<img src=""paste-426546c57f196e1edd6ae92a7edff5100db61c5d.jpg"">[sound:18-2-179-3.mp3]"			18-2-179-3	Beginner Retired
dfdca984-2cb3-11ed-a970-3b66871c921d				<div>머리를 <b>짧게</b> 잘랐어요.</div>		"<img src=""paste-fbe1d03383f3f3a4fdc5fd3a30e137565c4d8073.jpg"">[sound:18-3-181-1.mp3]"			18-3-181-1	Beginner
dfdcd1fc-2cb3-11ed-a970-3b66871c921d				<div>오늘 아침에 <b>늦게</b> 일어났어요.&nbsp;</div>		"<img src=""paste-6e725761af4e052f6e1d75034482195d1351c288.jpg"">[sound:18-3-181-2.mp3]"			18-3-181-2	Beginner Retired
dfdcfbaa-2cb3-11ed-a970-3b66871c921d				<div><b>크게</b> 읽으세요.</div>		"<img src=""paste-d52d9c9642eae258778c728f0d095cde25b1a599.jpg"">[sound:18-3-181-3.mp3]"			18-3-181-3	Beginner
dfdd23d2-2cb3-11ed-a970-3b66871c921d				<div>아이들이 배고<b>파해</b>요.&nbsp;</div>		"<img src=""paste-f87d2ca408e87f1ca48c4205c356db5fa982abff.jpg"">[sound:18-4-183-1.mp3]"			18-4-183-1	Beginner
dfdd4ce0-2cb3-11ed-a970-3b66871c921d				<div>요즘 아버지가 피곤<b>해하</b>세요.&nbsp;</div>		"<img src=""paste-e574c6d5a38a17c87cd13287719a6dfd5ec555b7.jpg"">[sound:18-4-183-2.mp3]"			18-4-183-2	Beginner
dfdd7ba2-2cb3-11ed-a970-3b66871c921d				<div>아이가 심심<b>해해</b>요.</div><div></div>		"<img src=""paste-9734cbe977ce496637e63eaea11e2b62496cb584.jpg"">[sound:18-4-183-3.mp3]"			18-4-183-3	Beginner
dfdda960-2cb3-11ed-a970-3b66871c921d				<div>목걸이와 귀걸이를 하<b>고 있어요</b>.&nbsp;</div>		"<img src=""paste-5c14f9aaf588c18c8a7f14ccb5b07ca9b28efddc.jpg"">[sound:19-1-185-1.mp3]"			19-1-185-1	Beginner Retired
dfddd534-2cb3-11ed-a970-3b66871c921d				<div>블라우스를 입<b>고 있어요</b>.&nbsp;</div>		"<img src=""paste-6d66abc949b6360dbad5e5191523d7211dbef55c.jpg"">[sound:19-1-185-2.mp3]"			19-1-185-2	Beginner Retired
dfddff8c-2cb3-11ed-a970-3b66871c921d				<div>치마를 입<b>고 있어요</b>.&nbsp;</div>		"<img src=""paste-baf88e22ed8abba0d8f941b15bba915ff0e0fae0.jpg"">[sound:19-1-185-3.mp3]"			19-1-185-3	Beginner
dfde2912-2cb3-11ed-a970-3b66871c921d				<div>부츠를 신<b>고 있어요</b>.&nbsp;</div>		"<img src=""paste-240be35d900d69c9ab26eeb771e3fd00566f83eb.jpg"">[sound:19-1-185-4.mp3]"			19-1-185-4	Beginner Retired
dfde591e-2cb3-11ed-a970-3b66871c921d				<div>안경을 끼<b>고 있어요</b>.</div><div><br></div><div>안경을 쓰<b>고&nbsp;</b><b>있어요</b>.<br></div><div></div>		"<img src=""paste-fcdf644c0d8de28115af1b4a76d195b13db9191d.jpg"">[sound:19-1-185-5-2.mp3][sound:19-1-185-5.mp3]"			19-1-185-5	Beginner
dfde8524-2cb3-11ed-a970-3b66871c921d				<div>장갑을 끼<b>고 있어요</b>.</div><div></div>		"<img src=""paste-021897ba2dfc4abf75a6ad1ffe3b7f64c88263d7.jpg"">[sound:19-1-185-6.mp3]"			19-1-185-6	Beginner Retired
dfdeae00-2cb3-11ed-a970-3b66871c921d				<div>양복을 입<b>고 있어요</b>.</div><div></div>		"<img src=""paste-df68ddd96153b9c6b7455030c2854abdb0171db1.jpg"">[sound:19-1-185-7.mp3]"			19-1-185-7	Beginner Retired
dfdeda38-2cb3-11ed-a970-3b66871c921d				<div>가방을 들<b>고 있어요</b>.&nbsp;</div>		"<img src=""paste-19875314982f18fd33452b9de0543256ab4ac202.jpg"">[sound:19-1-185-8.mp3]"			19-1-185-8	Beginner
dfdf086e-2cb3-11ed-a970-3b66871c921d				<div>구두를 신<b>고 있어요</b>.&nbsp;</div>		"<img src=""paste-1cb41c05152044304694e04d317a8595b4acb658.jpg"">[sound:19-1-185-9.mp3]"			19-1-185-9	Beginner
dfdf34c4-2cb3-11ed-a970-3b66871c921d				<div>선생님이 <b>서 있어요</b>.&nbsp;</div><div><br></div><div>학생들이&nbsp;<b>앉아 있어요</b>.&nbsp;<br></div>		"<img src=""paste-b04d4af8b8a36c2e83ce675cb5ea42d76ee93023.jpg"">[sound:19-2-187-1.mp3]"			19-2-187-1	Beginner
dfdf5e4a-2cb3-11ed-a970-3b66871c921d				<div>환자들이 병원에 <b>누워 있어요</b>.</div>		"<img src=""paste-14150091777f4af16975eb7c11fe45f7ae5b7428.jpg"">[sound:19-2-187-2.mp3]"			19-2-187-2	Beginner
dfdf86e0-2cb3-11ed-a970-3b66871c921d				<div>우산에 이름이 <b>써 있어요</b>.</div>		"<img src=""paste-70deb23199dd5a848bc0cbe8f91628e9e5dc4635.jpg"">[sound:19-2-187-3.mp3]"			19-2-187-3	Beginner
dfdfb1c4-2cb3-11ed-a970-3b66871c921d				<div>풍선이 <b>커졌</b>어요.</div>		"<img src=""paste-54e94acd05cd1a0062bb0c55222590d5e696dfef.jpg"">[sound:19-3-189-1.mp3]"			19-3-189-1	Beginner
dfdfda46-2cb3-11ed-a970-3b66871c921d				<div>언니가 <b>날씬해졌</b>어요.</div>		"<img src=""paste-5d2c20aa982aa2c4378c54d04b8d59d92292a05c.jpg"">[sound:19-3-189-2.mp3]"			19-3-189-2	Beginner Retired
dfe00462-2cb3-11ed-a970-3b66871c921d				<div>피노키오는 거짓말을 하면 코가 <b>길어져</b>요.</div>		"<img src=""paste-1f77a645ebde80d8e7577f201fe8ae946e4f17e5.jpg"">[sound:19-3-189-3.mp3]"			19-3-189-3	Beginner Retired
dfe02f8c-2cb3-11ed-a970-3b66871c921d				<div>요리를 잘하<b>게 되었어요</b>.&nbsp;</div>		"<img src=""paste-95c97af72b1cb14d2f43d4095ea6185c488f5efd.jpg"">[sound:19-4-191-1.mp3]"			19-4-191-1	Beginner Retired
dfe05a16-2cb3-11ed-a970-3b66871c921d				<div>축구를 좋아하<b>게 되었어요</b>.&nbsp;</div>		"<img src=""paste-a9c15f60af9da0b05fd55b4817ba9e823203f27a.jpg"">[sound:19-4-191-2.mp3]"			19-4-191-2	Beginner
dfe082b6-2cb3-11ed-a970-3b66871c921d				<div>외국으로 출장을 가<b>게 됐어요</b>.</div><div></div>		"<img src=""paste-14089144d47b1c9096b558d8ecc3fdbb9c6c513f.jpg"">[sound:19-4-191-3.mp3]"			19-4-191-3	Beginner Retired
dfe0ab42-2cb3-11ed-a970-3b66871c921d				<div>명동에 어떻게 <b>가는지</b> 알아요?&nbsp;</div>		"<img src=""paste-a1b22aec82f65d69cafaa86b69760581ebd54a5f.jpg"">[sound:20-1-193-1.mp3]"			20-1-193-1	Beginner Retired
dfe0dc98-2cb3-11ed-a970-3b66871c921d				<div>저 분이 <b>누구인지</b> 모르겠어요.&nbsp;</div>		"<img src=""paste-08991fab14c302251cc7e68793eca9d62e522196.jpg"">[sound:20-1-193-2.mp3]"			20-1-193-2	Beginner
dfe1097a-2cb3-11ed-a970-3b66871c921d				<div>어제 무엇을 <b>했는지</b> 생각이 안 나요</div>		"<img src=""paste-f01c8c45b0871edc3e6a6aee31375dd37d472bff.jpg"">[sound:20-1-193-3.mp3]"			20-1-193-3	Beginner
dfe132e2-2cb3-11ed-a970-3b66871c921d				<div>운전을 배우<b>는 데</b> 두 달 <b>걸렸어요</b>.&nbsp;</div>		"<img src=""paste-6f077795d4102749b5efa29d0f47c5789925835b.jpg"">[sound:20-2-195-1.mp3]"			20-2-195-1	Beginner
dfe160b4-2cb3-11ed-a970-3b66871c921d				<div>숙제하<b>는 데</b> 한 시간 <b>걸려요</b>.&nbsp;</div>		"<img src=""paste-c90e8fb87e11f19d9437df17a1ce69b2088f61fb.jpg"">[sound:20-2-195-2.mp3]"			20-2-195-2	Beginner Retired
dfe1961a-2cb3-11ed-a970-3b66871c921d				<div>차를 고치<b>는 데</b> 30만 원 <b>들었어요</b>.&nbsp;</div>		"<img src=""paste-22e18aa713cfb5b91459fc6992b63b8270d11b04.jpg"">[sound:20-2-195-3.mp3]"			20-2-195-3	Beginner
dfe1c52c-2cb3-11ed-a970-3b66871c921d				<div>중국 사람이<b>지요</b>?&nbsp;</div>		"<img src=""paste-6ce47ee3600eeb06296378766dd1bd639fcffe08.jpg"">[sound:20-3-197-1.mp3]"			20-3-197-1	Beginner
dfe1f218-2cb3-11ed-a970-3b66871c921d				<div>불고기가 맛있<b>지요</b>?&nbsp;</div>		"<img src=""paste-83462d6c6ebb50005552dc4bbbc9f5eb86db556c.jpg"">[sound:20-3-197-2.mp3]"			20-3-197-2	Beginner
dfe21f36-2cb3-11ed-a970-3b66871c921d				<div>한국어를 배우<b>지요</b>?</div>		"<img src=""paste-1a2b0b35528f6cf110517140044329bfeac60302.jpg"">[sound:20-3-197-3.mp3]"			20-3-197-3	Beginner
dfe24c2c-2cb3-11ed-a970-3b66871c921d				<div>눈이 나쁘<b>군요</b>.&nbsp;</div>		"<img src=""paste-15e17d83a8c7655352241e29b9183f7ca6a386f5.jpg"">[sound:21-1-199-1.mp3]"			21-1-199-1	Beginner
dfe27ae4-2cb3-11ed-a970-3b66871c921d				<div>아이스크림을 좋아하<b>는군요</b>.</div><div></div>		"<img src=""paste-6bbc49c68b80d3187269cb086cfe0058c0074af3.jpg"">[sound:21-1-199-2.mp3]"			21-1-199-2	Beginner
dfe2acc6-2cb3-11ed-a970-3b66871c921d				<div>감기에 걸렸<b>군요</b>.</div><div></div>		"<img src=""paste-9fa31d17c6d424830d1bbe708c9c603083eec9bd.jpg"">[sound:21-1-199-3.mp3]"			21-1-199-3	Beginner
dfe2db42-2cb3-11ed-a970-3b66871c921d				<div>벌써 여름이<b>네요</b>.&nbsp;</div>		"<img src=""paste-0267e251179396e43054c91d0e231fa252da53db.jpg"">[sound:21-2-201-1.mp3]"			21-2-201-1	Beginner
dfe30748-2cb3-11ed-a970-3b66871c921d				<div>가족이 많<b>네요</b>.&nbsp;</div>		"<img src=""paste-3cdddb0d4fc816c40f395e5bccb31879d3a4f22a.jpg"">[sound:21-2-201-2.mp3]"			21-2-201-2	Beginner
dfe333c6-2cb3-11ed-a970-3b66871c921d				<div>글씨를 잘 쓰<b>네요</b>.&nbsp;</div>		"<img src=""paste-e54486bfff2e8dc366cea9c1511b7b18bcdfaba6.jpg"">[sound:21-2-201-3.mp3]"			21-2-201-3	Beginner
dfe367c4-2cb3-11ed-a970-3b66871c921d				<div>책을 많이 읽었<b>네요</b>.&nbsp;</div>		"<img src=""paste-f194e31a99ccafc8524e67557b636ba61d3a198e.jpg"">[sound:21-2-201-4.mp3]"			21-2-201-4	Beginner Retired
dfe39f3c-2cb3-11ed-a970-3b66871c921d				<div>한국 친구가 많<b>은가요</b>?&nbsp;</div>		"<img src=""paste-67c315c67eb97f06635b00e29db8f4eb9b62d5ad.jpg"">[sound:22-1-203-1.mp3]"			22-1-203-1	Beginner Retired
dfe3ce3a-2cb3-11ed-a970-3b66871c921d				<div>나를 사랑하<b>나요</b>?</div>		"<img src=""paste-ab5ea6e413b9e1149cceb3629288c01d1cbd3a08.jpg"">[sound:22-1-203-2.mp3]"			22-1-203-2	Beginner Retired
dfe40288-2cb3-11ed-a970-3b66871c921d				<div>주말에 재미있게 보내셨<b>나요</b>?</div>		"<img src=""paste-9ad505a3d6fda9ac7bc8d891ad5e16e874069328.jpg"">[sound:22-1-203-3.mp3]"			22-1-203-3	Beginner Retired
dfe43226-2cb3-11ed-a970-3b66871c921d				<div>저는 재미있<b>는데요</b>.&nbsp;</div>		"<img src=""paste-f7e70c3dee9709bee3d9e88fb2d348900cc7c8fc.jpg"">[sound:22-2-205-1.mp3]"			22-2-205-1	Beginner Retired
dfe46066-2cb3-11ed-a970-3b66871c921d				<div>민우 씨는 지금 자리에 없<b>는데요</b>.&nbsp;</div>		"<img src=""paste-a7f6c70908849a4fc7cf2598aa0e5310d48d6f66.jpg"">[sound:22-2-205-2.mp3]"			22-2-205-2	Beginner
dfe48cd0-2cb3-11ed-a970-3b66871c921d				<div>정말 높<b>은데요</b>!&nbsp;</div>		"<img src=""paste-b69cff599b962ef960ee06e992bb57550deb8e95.jpg"">[sound:22-2-205-3.mp3]"			22-2-205-3	Beginner Retired
dfe4b822-2cb3-11ed-a970-3b66871c921d				"<div>에디슨은 “실패는 성공의 어머니입니다"" <b>라고 했어요</b>.</div>"		"<img src=""paste-e135e6e59809b114f8d27180dc71394639d13eae.jpg"">[sound:23-1-207-1.mp3]"			23-1-207-1	Beginner
dfe4e3e2-2cb3-11ed-a970-3b66871c921d				"<div>예수님은 “서로 사랑하세요""<b>라고 말씀했어요</b>.&nbsp;</div>"		"<img src=""92a85ece-f3e1-40b1-982e-87ffbb8dc784.png"">[sound:23-1-207-2.mp3]"			23-1-207-2	Beginner Retired
